891 0.0335012605086404 0.076306747653589 0.0959382106077382  0.0146563208545369 0.00902463036082501 0.0288005240086665 0.00902463036082501
1113 0.029974532466509 0.0684357748883315 0.0807254057093987  0.0552152461154954 0.0111476878297943 0.0404151221213333 0.0105953490075827
1391 0.0268124460085859 0.0610195450921074 0.101311731744499  0.0184206565781859 0.0100326248335021 0.0233034813528489 0.0108444420248732
1738 0.0239869546440458 0.0550874033476771 0.0414453210937515  0.0111392405063291 0.000326830804982858 0.0445569620253165 0.00589645105814718
2172 0.0214570537711437 0.0494401088932287 0.0182231843475926  0.0133701657458566 0.0018320642711922 0.0445672191528549 0.00485301860173593
2715 0.0191917723316582 0.0442040671750814 0.0208972174967634  0.00482212452097546 0.00762580276106339 0.00588582845942514 0.00841839613396411
3393 0.0171675400874868 0.039650649111793 0.000912504087779098  0.00385772339644892 0.00621982718248359 0.00184982377336273 0.00336689467437834
4241 0.0153555672295826 0.0355552936477725 0.0180180249644684  0.00308385151183553 0.000899420861662392 0.0151770702676733 0.00138305968537811
5301 0.0137347607238388 0.0316620334539749 0.014770296796927  0.00794500900336649 0.000161732375119961 0.0084899710326471 0.00107476765148284
6626 0.0122849752037239 0.0283000271747833 0.0198199633736849  0.0073045578025958 9.76573066755471E-05 0.0146091156051916 0.00521084776849312
8282 0.0109883475416116 0.0253268301936087 0.0159200245072855  0.0023375996136199 0.000141227115351139 0.0070127988408597 0.00131002692216109
10352 0.00982851417463439 0.0226260610545167 0.0246051825771318  0.00654559505409616 0.0011096551353873 0.00280525502318407 0.000760514880068008
12940 0.0087908903249211 0.0202753512943801 0.0111399584658489  0.00149613601236494 0.00178910838856927 0.00149613601236494 0.00178910838856927
16175 0.00786281133970751 0.0181169784204837 0.0182466045245815  0.00278237825859422 0.000891426781150173 0.00338101765946151 0.0023875627935146
20218 0.00703284270026926 0.0162348600562277 0.00471855424481049  0.00574537540805229 0.00256403846679065 0.00239390642002161 0.00136708525677953
25272 0.00629042796746998 0.014517029362634 0.00674384530226169  0.000766065210509672 0.0019559377365761 0.00229819563152902 0.000806839920811875
31590 0.00562632981713148 0.0129887028454771 0.00433073988915655  0.000919278252611822 0.000347200794506008 0.00398353909465051 4.07747103023937E-05
39487 0.00503237423462913 0.011609720650281 0.00924281124673554  0.00432654556348933 0.000440375624892742 0.00285571898326248 0.00029505628940818
49358 0.00450112654789556 0.0103818905524433 0.0108106042407514  0.00254953604278945 0.000122164676749748 0.00156894525710132 0.000368130716094317
