8282 0.0109883475416116 0.0415691557969877 0.00494798753501824  0.00184868399103483 0.00135072978051731 0.0074775233684467 0.00272165350553344
10352 0.00982851417463439 0.037235158448474 0.0204717902829441  0.00146858793656696 6.45416682343303E-05 0.00854635542840704 0.000813813139710184
12940 0.0087908903249211 0.0332641136130426 0.00907424553399672  0.00312073166456039 0.000804060532656248 0.000111559109921888 0.000442594273342145
16175 0.00786281133970751 0.0298130494881572 0.011032028669701  0.000400298558845769 0.000433890119427627 0.00115865929327846 0.000931170983059726
20218 0.00703284270026926 0.0266795474587838 0.000873468583725945  0.000347152017230679 0.000279180409183954 0.00390172305221248 8.2312572561527E-05
25272 0.00629042796746998 0.0238395773333101 0.00119921289196778  0.000418443937228119 0.000200978466056601 0.00372366767820553 0.00103835680113473
31590 0.00562632981713148 0.0213189351050523 0.0069625484257072  0.000665811638605185 6.34420426428584E-05 0.00199700771419448 0.000102874390996988
39487 0.00503237423462913 0.0190678353636582 0.011118907004954  0.000400486404450839 9.90653871513203E-06 0.00139738235762632 0.000258346031000389
49358 0.00450112654789556 0.0170527192036312 0.0124762059894583  0.000310231043156639 0.000394178082411045 7.71100151411019E-05 8.56714987351737E-05
61697 0.00402594628784967 0.015253245451852 0.0208313589163289  5.19061454677949E-05 0.00010305520081122 0.000311631193131101 4.44873006619773E-05
77121 0.00360092166582417 0.0136586597539383 0.0160049325523515  0.000761645077792972 0.000125000028244227 0.000662418369826723 5.35593439083826E-05
96401 0.00322076642682742 0.012215567795427 0.0128674084731633  0.000314120144187857 6.4060010491751E-06 0.000599989426786629 0.000284973059658356
120501 0.00288074405630835 0.0109242711529466 0.0143979979952507  1.04038086395919E-06 5.96629063762677E-05 0.000151979414764081 1.85455773662468E-05
150626 0.00257661795252888 0.00977032732949616 0.0107525511178546  0.000328875900814929 5.30211616212029E-05 0.000326277990157331 5.88992346450823E-05
188282 0.00230460021759216 0.00874205846119632 0.00772506187800115  3.85138014035724E-05 6.56956928457575E-06 5.3595650606586E-05 5.95018002513825E-06
235352 0.00206129928858712 0.00782054870829879 0.00562260417221072  0.000108605322010125 5.85468419842528E-05 6.20360849825086E-05 1.32997140052105E-05
294190 0.0018436821325011 0.00699809504173726 0.00411708233655883  0.000119463444412327 1.40295271990887E-05 0.000288247220157634 8.53536107552344E-05
367737 0.00164904055194186 0.00625815127054416 0.00333676707565234  3.3160439612212E-05 3.13265136511198E-05 2.34719504762504E-05 3.78514859411538E-05
459671 0.00147494710980586 0.00559795618323618 0.00108896363741717  7.23867434868075E-05 6.62879846924369E-06 6.96819035422847E-06 4.18088381675119E-05
574588 0.00131923366128295 0.00500730167534218 0.000425661262214216  8.04352043295986E-05 1.22276698939494E-05 7.77640894802922E-05 3.31523537684397E-05
718235 0.00117995845793384 0.00447884293489846 0.000277291277462677  7.17888011681489E-05 1.20599996824566E-05 6.46459122697896E-05 2.73499446641345E-05
897793 0.00105538736985182 0.00400577934854762 0.00226822208870692  2.30454912143463E-05 1.01953585089909E-05 3.9280981722345E-05 1.85537412482617E-05
1122241 0.000943967265776449 0.00358343552757602 0.00192553253622929  4.8344718655835E-05 4.01805772254349E-06 1.08838886033746E-05 1.22609534569662E-06
1402801 0.000844310065158595 0.00320505726023504 0.00330490882825973  3.40123421377347E-06 2.96121733001087E-06 7.41390207840698E-05 3.16957633650361E-06
1753501 0.00075517393374605 0.0028666942774757 0.00284810329146978  2.85057620538209E-05 2.52698093561321E-06 6.12321325718646E-05 7.79774092407592E-07
